corridor,direction,baseline,metric,horizon,n_seeds,mean,std,ci_half,ci_low,ci_high,cv_pct
E59,-1,LSTM,MAE,3,5,3.9039964699959713,0.006807561300379371,0.008452703782246265,3.895543766213725,3.9124491737782177,0.17437416638817801
E59,-1,LSTM,MAE,5,5,4.046642038401989,0.00825751815735144,0.010253063010497167,4.0363889753914926,4.056895101412486,0.20405852751463818
E59,-1,LSTM,MAE,10,5,4.214569428622253,0.005079271540555653,0.006306748609008924,4.208262680013244,4.220876177231262,0.12051697395375621
E59,-1,LSTM,RMSE,1,5,4.856652933056305,0.0022168873845117313,0.0027526292534203215,4.8539003038028845,4.859405562309725,0.045646403296037835
E59,-1,LSTM,RMSE,3,5,5.2153226241184845,0.007965732037022676,0.00989076268970939,5.205431861428775,5.225213386808194,0.15273709051449288
E59,-1,LSTM,RMSE,5,5,5.3799295066827595,0.012446667778270871,0.015454579277881771,5.364474927404878,5.395384085960641,0.2313537335909338
E59,-1,LSTM,RMSE,10,5,5.61233865320299,0.01281971062546005,0.015917773151024005,5.596420880051966,5.628256426354014,0.22842011891324088
E59,aggregate,LSTM,MAE,1,5,3.330589631130903,0.0024475763091509283,0.0030390673859291535,3.327550563744974,3.333628698516832,0.07348777784790776
E59,aggregate,LSTM,MAE,3,5,3.8479172630221194,0.003547030575706917,0.0044042201663832495,3.843513042855736,3.852321483188503,0.0921805312654023
E59,aggregate,LSTM,MAE,5,5,4.024225189592386,0.0070268615477383795,0.008725001004189126,4.015500188588197,4.032950190596575,0.17461402423282707
E59,aggregate,LSTM,MAE,10,5,4.2240149758125245,0.005148195515901782,0.006392329027809296,4.217622646784715,4.230407304840334,0.12187919657911449
E59,aggregate,LSTM,RMSE,1,5,4.650249858910046,0.0012324229714837595,0.0015302552342506884,4.648719603675795,4.651780114144296,0.026502295766374636
E59,aggregate,LSTM,RMSE,3,5,5.10977180428687,0.004332094280659815,0.005379005505119725,5.104392798781751,5.11515080979199,0.0847805821196434
E59,aggregate,LSTM,RMSE,5,5,5.301726862083301,0.010847158856010517,0.013468526634305386,5.288258335448996,5.315195388717607,0.20459671232003362
E59,aggregate,LSTM,RMSE,10,5,5.558335554115982,0.011141928355953137,0.013834531310152665,5.54450102280583,5.5721700854261345,0.20045440307579973
