origin,corridor,horizon,n,n_service_days,base_rate,delta_auc,auc_ci_low,auc_ci_high,auc_survives,delta_mcc_fixed,mcc_fixed_ci_low,mcc_fixed_ci_high,mcc_fixed_survives,delta_mcc_calibrated,mcc_calibrated_ci_low,mcc_calibrated_ci_high,mcc_calibrated_survives,n_boot,seed,level
r2,E59,5,217083,22,0.20591202443305096,0.010306341748430481,0.00426704419264017,0.016242580384500292,true,-0.15099697503646126,-0.16389351222286003,-0.13804748241482817,true,,,,,2000,42,0.95
r2,E59,10,209469,22,0.20796394693248166,0.05633134455930522,0.047226839846682835,0.0659179928758538,true,-0.06410115828720747,-0.07849615079897462,-0.0507951901092554,true,,,,,2000,42,0.95
r2,E4,1,71215,22,0.17051183037281473,-0.016060642797963154,-0.0200063143582179,-0.012124800120243967,true,-0.15704406234340917,-0.17154344575183073,-0.1442319021990885,true,,,,,2000,42,0.95
r2,E4,3,62718,22,0.1595873592907937,-0.021606774282966645,-0.027805819881168724,-0.016045035298811017,true,-0.23165624691281098,-0.2624886385075792,-0.2032111941229702,true,,,,,2000,42,0.95
r2,E4,5,58341,22,0.15714506093484856,0.005964107729276802,-0.003938025394878227,0.014128718774184739,false,-0.16884416164613175,-0.1950436431793472,-0.14746466069183284,true,,,,,2000,42,0.95
r2,E4,10,52932,22,0.16313383208645055,0.037754381748015375,0.013235903878258074,0.05795073617320083,true,-0.08700628720214976,-0.11166001613499779,-0.06463290070309621,true,,,,,2000,42,0.95
main,E2,1,66634,22,0.2985863072905724,-0.009327021200043029,-0.01488777370663493,-0.0040846313877369155,true,-0.19156101229429712,-0.21088122816931124,-0.17273046335743975,true,-0.09066411420377574,-0.10623289030180198,-0.07772682165543103,true,2000,42,0.95
main,E2,3,56594,22,0.30052655758560975,0.03128903361337343,0.025332595608303917,0.035935130766118456,true,-0.08482971832035519,-0.10728697104749697,-0.06604530739992233,true,0.01803703036635501,0.005368300595936916,0.027649113569368937,true,2000,42,0.95
main,E2,5,53865,22,0.30025062656641605,0.03691655577459363,0.030658802859007492,0.04206108674259865,true,-0.06632583082611414,-0.08711439777908363,-0.04818033670390843,true,0.0370863986043508,0.026252089554772456,0.04588654556514249,true,2000,42,0.95
main,E2,10,50356,22,0.3027444594487251,0.037163361001415374,0.02560576553202983,0.046617292150618446,true,-0.029355798211793432,-0.043432019719938306,-0.01829381027238627,true,0.05775938700728247,0.038973550568847354,0.07342840168276948,true,2000,42,0.95
main,E59,1,231742,22,0.212378420830061,-0.02060963403513183,-0.024771012138251936,-0.016278628307772453,true,-0.23094107718143303,-0.2439464487529905,-0.21863445103516013,true,-0.15388589859403468,-0.1642293080217151,-0.1438647390020468,true,2000,42,0.95
main,E59,3,219911,22,0.20852526703984794,-0.0004387330874049411,-0.0050801495833410395,0.004594652854502541,false,-0.1837700379801284,-0.19671800806718767,-0.1714360564109201,true,-0.09067826605872306,-0.10046111471070654,-0.08102200034358978,true,2000,42,0.95
main,E59,5,216618,22,0.20799287224515045,0.01706010813219483,0.012148873470191513,0.022396928546439265,true,-0.1432169004845542,-0.15408026643269426,-0.1325724765422268,true,-0.044107894708750345,-0.052930159153118266,-0.035749698173915816,true,2000,42,0.95
main,E59,10,209129,22,0.20789560510498306,0.06088567699267611,0.05446349380947965,0.06749835491188674,true,-0.058691107739662296,-0.06660736758773037,-0.05085225565435826,true,0.04205090278347312,0.03276901401922446,0.05163300235118106,true,2000,42,0.95
main,E4,1,73159,22,0.18317636927787423,-0.021743227120822217,-0.026668958448598044,-0.016086409396605144,true,-0.1816199320985799,-0.19638449532485233,-0.1668589671225254,true,-0.13981120972968825,-0.14990510502384305,-0.12955344987121148,true,2000,42,0.95
main,E4,3,64677,22,0.17321458942127804,-0.017452556592867263,-0.024896981056188455,-0.009248315788249853,true,-0.17710410144388167,-0.19996959398925573,-0.15476275385189295,true,-0.10578306926200787,-0.12203804076377352,-0.08612126005933791,true,2000,42,0.95
main,E4,5,60366,22,0.17243150117615877,-0.001020828916807437,-0.009924263090555514,0.008255042142673884,false,-0.1532851557573446,-0.17760521876867058,-0.12697684717216207,true,-0.06353480218201021,-0.08298260251688416,-0.04262246134105333,true,2000,42,0.95
main,E4,10,54443,22,0.17930679793545543,0.0465472988671759,0.029635538233270857,0.06269405911465788,true,-0.06488723818931941,-0.08936964744596619,-0.043290292753944866,true,0.014993548354466896,-0.004737858241163763,0.033307344468330995,false,2000,42,0.95
