corridor,horizon,model,n_cells,base_rate,trivial_f1,fire_rate_fixed,f1_fixed,mcc_fixed,auc,average_precision,ap_lift,threshold_fitted,fire_rate_calibrated,f1_calibrated,mcc_calibrated,threshold_f1fit,fire_rate_f1fit,f1_f1fit
E4,3,LSTM,64677,0.17321458942127804,0.29528202424881395,0.030010668398348716,0.17696287279367012,0.19798653342209688,0.7019927874044579,0.37127691701951987,2.1434506080577957,-0.6805234066140571,0.16882353850673346,0.3939969261368773,0.2690353901658328,-0.7650258234762067,0.2635094392133216,0.40940310132408125
E4,3,Persistence,64677,0.17321458942127804,0.29528202424881395,0.1840685251325819,0.4864116323351221,0.37509063486597854,0.7194453439973252,0.4071596259446227,2.3506081520325237,-0.5201513908161447,0.19739629234503764,0.48919482686691695,0.37481845942784064,-0.5371631363677346,0.20959537393509284,0.49048830728220044
E4,5,LSTM,60366,0.17243150117615877,0.2941434122218297,0.012225424908060828,0.06584731317843366,0.09567246777661811,0.6475862372584797,0.29496134725427636,1.710600123772855,-0.7880450611616231,0.23682205214856045,0.34883626796195105,0.19020207233850348,-0.8580328087324072,0.3333664645661465,0.3538466577146039
E4,5,Persistence,60366,0.17243150117615877,0.2941434122218297,0.18054865321538616,0.381359113947813,0.24895762353396272,0.6486070661752872,0.29987770390399576,1.7391120639704687,-0.5366532354069807,0.2048835437166617,0.392325591605567,0.2537368745205137,-0.5910654581186544,0.24356425802604115,0.3972602739726028
E4,10,LSTM,54443,0.17930679793545543,0.30408846663032474,0.002755175137299561,0.015133171912832932,0.04394147876888886,0.6044479043939524,0.25962136351699144,1.4479170143367717,-0.8811444435923063,0.29316900244292193,0.3159040547370058,0.1263356128140789,-1.0225432029499055,0.5775581801149826,0.32422462748143477
E4,10,Persistence,54443,0.17930679793545543,0.30408846663032474,0.17842514189151956,0.268227562127747,0.10882871695820827,0.5579006055267764,0.22293936606938014,1.2433402895836163,-0.5406598098282017,0.2046544091986114,0.28090317642556445,0.111342064459612,-0.7187190403767407,0.338941645390592,0.3058656742867269
E59,1,LSTM,231742,0.212378420830061,0.3503500510750679,0.06483071691795186,0.30756059214520326,0.28658714287500936,0.7600809089461638,0.4934482830349622,2.3234388932094237,-0.6814389622273196,0.2388863477487896,0.505464872773172,0.36305445932432334,-0.713859741940253,0.27617781843601935,0.508289244738074
E59,1,Persistence,231742,0.212378420830061,0.3503500510750679,0.21285308662219193,0.6201087838934893,0.5175282200564424,0.7806905429812956,0.5431335257806649,2.5573856499067973,-0.5042696327620295,0.21641739520673853,0.6204689544128007,0.516940357918358,-0.5077552800021241,0.21951566828628388,0.6203341059867318
E59,3,LSTM,219911,0.20852526703984794,0.3450904548327865,0.027597528090909505,0.1298001001425105,0.14379300648201207,0.6884813373872672,0.37692481700960007,1.807573836783875,-0.7892081988149707,0.29812515062911815,0.41935773393886083,0.2371313742971077,-0.841481301045777,0.36750776450473144,0.42454766490890145
E59,3,Persistence,219911,0.20852526703984794,0.3450904548327865,0.21087621810641577,0.46856263078574456,0.32756304446214046,0.6889200704746722,0.3942745814864243,1.8907760535852989,-0.5181489943895766,0.22605508592112264,0.47329154851468574,0.32780964035583077,-0.551228694021259,0.25439837024978285,0.47629712579320643
E59,5,LSTM,216618,0.20799287224515045,0.34436109189713876,0.018022509671403116,0.08313078289997752,0.10456425853162847,0.664853535928797,0.34419355538504515,1.6548334164997827,-0.8154142267476119,0.3030265259581383,0.3964190214641902,0.20512817232430455,-0.9169291914808237,0.4437165886491427,0.4039469583203469
E59,5,Persistence,216618,0.20799287224515045,0.34436109189713876,0.2102041381602637,0.4050602170241421,0.2477811590161827,0.6477934277966022,0.33802572912049234,1.625179389426763,-0.5438143544635177,0.24757407048352398,0.41773742450650564,0.2492360670330549,-0.5862153271444819,0.28302818786989076,0.4216276183671167
E59,10,LSTM,209129,0.20789560510498306,0.3442277697283517,0.0075216732256167245,0.034495005549389564,0.061368787659827645,0.6320430377997587,0.30866683553113516,1.4847203497893313,-0.8359262821875746,0.28131440402813573,0.35926809242678964,0.16109808507970383,-0.9866528756511557,0.5242649273893147,0.381384048695107
E59,10,Persistence,209129,0.20789560510498306,0.3442277697283517,0.20812512850919768,0.3030964805406772,0.12005989539948994,0.5711573608070826,0.26262410196107405,1.2632498980844458,-0.5411425096745445,0.24251538524068877,0.3158162940314669,0.11904718229623071,-0.7858843880114754,0.4347986171214896,0.34144309033822895
