model,corridor,horizon,pair_rank,n,mean_headway,mae
Persistence,E2,3,14,4,5.568764686584473,12.889504194259644
Persistence,E2,3,15,1,5.795508861541748,2.99957275390625
Persistence,E2,5,1,15477,8.812783089612678,6.514255118892276
Persistence,E2,5,2,12597,8.07874722950911,6.348846458088475
Persistence,E2,5,3,11667,7.154182355324407,5.631446931155143
Persistence,E2,5,4,11054,7.044298992270002,5.634171466208807
Persistence,E2,5,5,9782,7.442103950067231,5.9324933799150115
Persistence,E2,5,6,7708,7.933772183417284,6.262996107726501
Persistence,E2,5,7,5061,8.2388017330686,6.526828783911882
Persistence,E2,5,8,2974,8.617244893540931,6.609193668400752
Persistence,E2,5,9,1569,9.139759141066182,7.062637392011245
Persistence,E2,5,10,796,9.918101617139788,7.67546948326293
Persistence,E2,5,11,325,10.103040817700899,7.609819129063533
Persistence,E2,5,12,106,11.388018515874755,9.301348814424479
Persistence,E2,5,13,29,12.041620657361786,6.001464958848624
Persistence,E2,5,14,3,9.062325636545816,18.167757829030354
Persistence,E2,5,15,1,6.763447284698486,4.94783353805542
Persistence,E2,5,16,1,17.974687576293945,4.995290756225586
Persistence,E2,10,1,14792,8.863945337809248,7.53944014469761
Persistence,E2,10,2,12154,8.137953696761729,7.018359927964756
Persistence,E2,10,3,11373,7.201704885927551,6.28265526138949
Persistence,E2,10,4,10774,7.058427892126045,6.193100205329922
Persistence,E2,10,5,9476,7.462641442712725,6.4021850838697425
Persistence,E2,10,6,7300,7.901194336610297,6.538252324568083
Persistence,E2,10,7,4709,8.232327038276269,6.770733638436558
Persistence,E2,10,8,2720,8.765711505097501,7.207079577708946
Persistence,E2,10,9,1416,9.045953250705859,7.70873031862038
Persistence,E2,10,10,687,10.172943556673141,8.55281937590853
Persistence,E2,10,11,254,10.387846430455605,8.162798950991293
Persistence,E2,10,12,78,10.725498786339394,8.365919403540783
Persistence,E2,10,13,12,11.227504471937815,11.455336074034372
Persistence,E2,10,14,2,14.797724723815918,16.408971786499023
Persistence,E4,1,1,23534,12.813680531367314,2.8902424434194387
Persistence,E4,1,2,20195,11.91117543364315,2.8284814171343635
Persistence,E4,1,3,16978,11.092021043203172,2.5321391662926147
Persistence,E4,1,4,13759,10.248113257116128,2.3321651647894766
Persistence,E4,1,5,10186,10.286452391890537,2.185398695067715
Persistence,E4,1,6,7011,10.23155883225373,2.3657185075422817
Persistence,E4,1,7,4388,10.181493965625329,2.4206938776191844
Persistence,E4,1,8,2367,10.234185333437289,2.4530475221206025
Persistence,E4,1,9,1114,9.098397532742156,2.35476159664202
Persistence,E4,1,10,297,9.08063545772925,2.6822749404393464
Persistence,E4,3,1,22533,12.967019446367102,4.367240102864696
Persistence,E4,3,2,19011,12.098309627293373,4.300545530413022
Persistence,E4,3,3,15692,11.273710124230707,4.039962688362662
Persistence,E4,3,4,12437,10.474176372967609,3.896317691753903
Persistence,E4,3,5,9136,10.479047771093098,3.6863747780356433
Persistence,E4,3,6,6303,10.304202187880247,3.8836430492579663
Persistence,E4,3,7,3977,10.280000997303057,3.9561006468326148
Persistence,E4,3,8,2134,10.333626252194934,3.8902439820844656
Persistence,E4,3,9,947,8.828930443418315,3.782868333451977
Persistence,E4,3,10,238,9.061409403296079,4.0029921050833055
Persistence,E4,5,1,21801,13.061092341210305,5.392960346454295
Persistence,E4,5,2,18407,12.209610277070107,5.281577255281975
Persistence,E4,5,3,15040,11.425021417851143,5.016611043633299
Persistence,E4,5,4,11811,10.52373108271569,4.79215742156746
Persistence,E4,5,5,8741,10.537191089374389,4.566953755341519
Persistence,E4,5,6,5940,10.38000323009812,4.783112022932932
Persistence,E4,5,7,3785,10.211768338544838,4.651866983013077
Persistence,E4,5,8,2029,10.273008106611467,4.572485224609601
Persistence,E4,5,9,886,8.824267462198675,4.529517532202245
Persistence,E4,5,10,215,9.219247793596844,4.918750709711119
Persistence,E4,10,1,20572,13.028958203679922,7.148346599103782
Persistence,E4,10,2,17441,12.25609086302263,6.9195518329338865
Persistence,E4,10,3,14228,11.542146877790724,6.333833389648199
Persistence,E4,10,4,11075,10.569855267199651,6.1287919643393485
Persistence,E4,10,5,8124,10.639879291425016,5.877062752527419
Persistence,E4,10,6,5591,10.38433000862737,6.011986833291624
Persistence,E4,10,7,3423,10.383910192511355,5.72501751877152
Persistence,E4,10,8,1848,10.337201664974163,6.0821532699968905
Persistence,E4,10,9,738,9.381478683735297,5.60612980589311
Persistence,E4,10,10,150,8.853056662877401,5.794298814137776
Persistence,E59,1,1,24198,10.01969658153019,2.6442275267217226
Persistence,E59,1,2,29037,9.271842751600044,2.6135773044908968
Persistence,E59,1,3,29317,9.535569506013248,2.6905352187017613
Persistence,E59,1,4,28668,9.53066036881505,2.788072015628067
Persistence,E59,1,5,27101,9.618047012710417,2.971114127945009
Persistence,E59,1,6,25136,9.237233289216901,2.965059143164445
Persistence,E59,1,7,22528,8.824113745051859,2.9874366732229563
Persistence,E59,1,8,18800,8.401297127794711,2.931306219253134
Persistence,E59,1,9,14270,8.021996852644858,2.9186316296364265
Persistence,E59,1,10,9836,7.5354375763606525,2.816723180476511
Persistence,E59,1,11,6078,7.15415667726555,2.556265893912935
Persistence,E59,1,12,3445,7.123588762573995,2.337907751966457
Persistence,E59,1,13,1560,6.722123308976491,2.302873466870724
Persistence,E59,1,14,650,6.285225318761972,1.9976245704064002
Persistence,E59,1,15,219,6.554362475599873,2.0509525825988213
Persistence,E59,1,16,64,6.093764275312424,2.6344617679715157
Persistence,E59,3,1,22458,10.11789700201267,4.296311081565173
Persistence,E59,3,2,27941,9.302670034767157,3.7988282829615883
Persistence,E59,3,3,28375,9.533488420998998,3.8158736914243994
Persistence,E59,3,4,27685,9.545227719765611,3.8715294816594317
Persistence,E59,3,5,26154,9.615768531032993,4.004413879235841
Persistence,E59,3,6,24146,9.227864446610788,4.005621166757707
Persistence,E59,3,7,21626,8.842352833104467,3.941099284855673
