corridor,horizon,tercile,tercile_order,n,share,mean_exante_std,mae_persist,mae_lstm,mae_xgb,delta_lstm_persist,delta_lstm_xgb,dm_p_lstm_persist,dm_p_lstm_xgb,n_service_days,p33_threshold,p66_threshold,calib_split,calib_n
E4,3,high,2,33373,0.36587585239108034,7.360533785148049,5.727092380973471,5.276223973453775,5.292152675916368,-0.45086840751969604,-0.015928702462592703,0.00004458126685025242,0.3659642639328256,22,1.5741128287383317,4.599803578790129,train+val,1059707
E4,5,low,0,23330,0.26657982540335484,0.7365385478184456,3.574796285518903,3.539163871798656,3.6360037036990587,-0.035632413720246614,-0.09683983190040246,0.5093317098580002,0.003062619179890591,22,1.5744793969434867,4.600876437031813,train+val,1057432
E4,5,mid,1,32280,0.36884683943507474,3.035816434658082,4.51536745750328,4.128542410249013,4.1928472634437215,-0.38682504725426714,-0.06430485319470858,2.1649028278183846e-10,0.01650098540061592,22,1.5744793969434867,4.600876437031813,train+val,1057432
E4,5,high,2,31906,0.3645733351615705,7.371923108550695,6.655742311914057,5.616832024414607,5.704085995319577,-1.0389102874994505,-0.08725397090497022,1.3152201125994586e-10,0.0005512850878057892,22,1.5744793969434867,4.600876437031813,train+val,1057432
E4,10,low,0,22178,0.27025907240866665,0.7351758535128895,5.050201220382958,4.391403961787954,4.74431985501119,-0.6587972585950039,-0.35291589322323613,4.846974162017752e-10,2.2434813802032926e-9,22,1.575636784257071,4.603502053374864,train+val,1051357
E4,10,mid,1,30192,0.3679169408496015,3.0292507933468262,6.108727519118602,4.9927792950761845,5.31604341621682,-1.115948224042418,-0.3232641211406353,1.0701754175315311e-17,1.8955404559723503e-7,22,1.575636784257071,4.603502053374864,train+val,1051357
E4,10,high,2,29692,0.3618239867417319,7.405982276191647,8.061405119220796,5.889863827568043,6.122656748411422,-2.171541291652753,-0.23279292084337921,2.0020253620470025e-18,3.42402324957143e-7,22,1.575636784257071,4.603502053374864,train+val,1051357
E59,1,low,0,73696,0.30770643963908295,1.202313205606475,1.6221859014350024,2.031881993600093,1.8085039360282915,0.40969609216509073,0.22337805757180162,9.172936434542494e-17,7.137726601043821e-15,22,2.124191998681959,4.649793920577732,train+val,2372784
E59,1,mid,1,89420,0.373359610189519,3.293001599300363,2.5140429491752534,2.80906469519574,2.763164491882476,0.2950217460204865,0.045900203313264054,1.3213020625768896e-12,0.000018550512305306643,22,2.124191998681959,4.649793920577732,train+val,2372784
E59,1,high,2,76385,0.31893395017139803,6.897191144605286,4.282335215082435,4.577648152060913,4.773323311045383,0.29531293697847794,-0.19567515898446963,4.281540139600718e-8,8.352613230541975e-11,22,2.124191998681959,4.649793920577732,train+val,2372784
E59,3,low,0,70452,0.30797880711325604,1.2052468178461049,2.6145217385167787,2.7737459393462136,2.7030155487078957,0.1592242008294349,0.07073039063831787,4.704416004458095e-6,0.00154700784375404,22,2.125293427921959,4.650081827333126,train+val,2369367
E59,3,mid,1,85692,0.3746000104915281,3.2932454375088116,3.5106678759801877,3.353996339996383,3.437193843548034,-0.15667153598380468,-0.08319750355165079,2.1708592575999265e-6,1.0089995675281026e-6,22,2.125293427921959,4.650081827333126,train+val,2369367
E59,3,high,2,72612,0.3174211823952159,6.874582389617874,5.549212355341313,4.9904304513102264,5.26624378585122,-0.5587819040310862,-0.27581333454099344,1.2674055374821945e-11,1.721476136742636e-11,22,2.125293427921959,4.650081827333126,train+val,2369367
E59,5,low,0,69530,0.30857513114332125,1.2017491738292385,3.241252475091404,3.1439842066181214,3.257799012644178,-0.0972682684732824,-0.11381480602605665,0.0013951363000959747,0.00020098370459037577,22,2.1262169256213106,4.650202976956746,train+val,2366265
E59,5,mid,1,84362,0.3743997585720245,3.2935930424539337,4.025996513752863,3.5866336737386515,3.7894278697886588,-0.4393628400142111,-0.20279419605000726,3.039793792054416e-16,3.2796975771074135e-12,22,2.1262169256213106,4.650202976956746,train+val,2366265
E59,5,high,2,71434,0.31702511028465424,6.876810252224285,5.91228632301874,4.972445804875131,5.317863840767386,-0.9398405181436083,-0.34541803589225495,8.961195713271651e-19,2.786913661850184e-13,22,2.1262169256213106,4.650202976956746,train+val,2366265
E59,10,low,0,67508,0.30891161598828565,1.2020953019948057,4.354581965070529,3.747124228106225,4.104790761751636,-0.6074577369643039,-0.35766653364541146,8.16319090993803e-15,8.599758638926248e-9,22,2.1277932350554525,4.649761542224092,train+val,2359451
E59,10,mid,1,81780,0.3742192326172009,3.294518629007347,4.908988158765239,3.9340759854061327,4.309458716757054,-0.9749121733591064,-0.37538273135092126,1.1471160419733978e-20,2.444023073426455e-12,22,2.1277932350554525,4.649761542224092,train+val,2359451
E59,10,high,2,69247,0.31686915139451344,6.879607597894345,6.806602275736339,4.847185657847506,5.2759346781079,-1.9594166178888335,-0.4287490202603941,4.053645016279794e-23,6.34831541058846e-13,22,2.1277932350554525,4.649761542224092,train+val,2359451
