corridor,horizon,metric,comparison,join_coverage_pct,n,delta_loss,delta_mae,a_better,dm_stat_hac,dm_p_hac,dm_lag,dm_stat_clustered,dm_p_clustered,n_service_days,wilcoxon_p_two_sided,wilcoxon_p_one_sided,median_diff,win_rate,mean_median_disagree
E2,3,RMSE,LSTM_vs_PERSIST,99.9976,81695,-27.84397254963169,-0.850855801410326,true,-57.25931688439631,0.0,43,-55.11556113278417,3.327788110037686e-24,22,0.0,0.0,-1.3305534555529448,0.545296529775384,false
E2,5,RMSE,LSTM_vs_PERSIST,99.9975,79150,-31.427049873670857,-1.1085055299748068,true,-60.06444013218488,0.0,42,-52.70445093422482,8.45901089669312e-24,22,0.0,0.0,-2.778341067121346,0.5639545167403663,false
E2,10,RMSE,LSTM_vs_PERSIST,99.996,75747,-37.147893216493706,-1.4727070925644836,true,-59.12474055075213,0.0,42,-75.60035586330629,4.5078231254097476e-27,22,0.0,0.0,-5.352787338743383,0.5885117562411712,false
E4,1,RMSE,LSTM_vs_PERSIST,99.9489,99829,-6.492641042670598,0.46389245563259424,true,-25.882440391607865,3.22519840284726e-147,46,-18.109337006293778,2.7055303937779716e-14,22,0.0,1.0,0.5885003202329244,0.3402217792425047,true
E4,3,RMSE,LSTM_vs_PERSIST,99.974,92408,-14.356378532694125,-0.06421358060985403,true,-37.24982308157371,1.866219989230688e-301,45,-25.50799254202119,2.7555044921836232e-17,22,4.559150292973456e-14,2.279575146486728e-14,0.24311304130787903,0.45980867457363,true
E4,5,RMSE,LSTM_vs_PERSIST,99.9797,88655,-21.091421641535185,-0.5361716247372711,true,-41.079322355373705,0.0,44,-36.9235036482338,1.376980287497016e-20,22,0.0,0.0,-0.1110841452027671,0.5141841971688004,false
E4,10,RMSE,LSTM_vs_PERSIST,99.988,83190,-35.361541066408535,-1.3805686909069965,true,-47.52952759348992,0.0,43,-35.874162102841034,2.5000327088711485e-20,22,0.0,0.0,-2.9323650289543366,0.5719076812116841,false
E59,1,RMSE,LSTM_vs_PERSIST,99.9805,240907,-8.349820538688752,0.33437004892057515,true,-46.10415963999967,0.0,62,-21.54569399783041,8.421596275673176e-16,22,0.0,1.0,0.630052071604041,0.37166624465042525,true
E59,3,RMSE,LSTM_vs_PERSIST,99.9822,229826,-15.035701025581849,-0.1859414301186391,true,-58.27700269374837,0.0,61,-34.499189605926716,5.606423448769343e-20,22,9.091130665608663e-214,4.5455653328043315e-214,0.19991991771144058,0.47255314890395345,true
E59,5,RMSE,LSTM_vs_PERSIST,99.9854,226539,-18.419356392257168,-0.49134174745697345,true,-61.696944470212614,0.0,60,-33.77798293158184,8.67165097012049e-20,22,0.0,0.0,-0.14539431694356608,0.5157699115825531,false
E59,10,RMSE,LSTM_vs_PERSIST,99.9895,219755,-26.85985935923724,-1.1726907702328355,true,-68.27295441193085,0.0,60,-34.71977326249689,4.914917508439362e-20,22,0.0,0.0,-2.510526005768952,0.5766785738663511,false
E2,1,MAE,LSTM_vs_XGB,99.9878,90469,0.03253364235808069,0.03253364235808069,false,4.137815222683284,0.00003509452233042153,44,2.233019669065415,0.036561760992285336,22,0.0030546169239624786,0.0015273084619812393,0.004776477813720703,0.4985133028993357,false
E2,3,MAE,LSTM_vs_XGB,99.9976,81695,0.014921589345387433,0.014921589345387433,false,1.584542987507641,0.11307407796094056,43,1.1879970749294262,0.2480975831382571,22,0.02687547341730911,0.9865622632913454,-0.03347015380859375,0.5093090152396107,true
E2,5,MAE,LSTM_vs_XGB,99.9975,79150,0.04698931362985887,0.04698931362985887,false,4.515165202494913,6.335853717418235e-6,42,3.269820653802178,0.003658535284211367,22,0.010941831813310541,0.005470915906655271,-0.010265350341796875,0.503360707517372,true
E2,10,MAE,LSTM_vs_XGB,99.996,75747,0.11272801526606603,0.11272801526606603,false,8.765748235270218,1.8928411595441214e-18,42,8.567613799299055,2.697386620519892e-8,22,4.411078244314033e-27,2.2055391221570164e-27,0.0261993408203125,0.491385797457325,false
E4,1,MAE,LSTM_vs_XGB,99.9489,99829,0.2881482354932774,0.2881482354932774,false,35.53322316126788,7.95768428511441e-275,46,22.246413463310173,4.4180138845130418e-16,22,0.0,0.0,0.2452392578125,0.40859870378346974,false
E4,3,MAE,LSTM_vs_XGB,99.974,92408,0.10317667755262437,0.10317667755262437,false,9.36205320778664,7.988092498865662e-21,45,7.180345936240839,4.45246483068112e-7,22,1.804520072297506e-70,9.02260036148753e-71,0.09684133529663086,0.4754891351398147,false
E4,5,MAE,LSTM_vs_XGB,99.9797,88655,-0.07925782160376825,-0.07925782160376825,true,-5.485168390749775,4.142006634618413e-8,44,-4.14896890681207,0.00045505167923412336,22,1.799690648186437e-21,8.998453240932186e-22,-0.0705718994140625,0.5142067565281147,false
E4,10,MAE,LSTM_vs_XGB,99.988,83190,-0.29510271624026213,-0.29510271624026213,true,-16.55776971861175,1.7657738549635178e-61,43,-12.557246126401605,3.138489658195365e-11,22,4.564680950168474e-272,2.282340475084237e-272,-0.28981447219848633,0.5538886885442962,false
E59,1,MAE,LSTM_vs_XGB,99.9805,240907,0.0270161105276459,0.0270161105276459,false,5.056403671267882,4.275487619747055e-7,62,3.7912348189380705,0.0010690652998445092,22,2.034451651239478e-33,1.017225825619739e-33,0.03238344192504883,0.48974915631343213,false
E59,3,MAE,LSTM_vs_XGB,99.9822,229826,-0.09502404698789191,-0.09502404698789191,true,-12.912922448928436,3.9240008800913424e-38,61,-7.586642820275319,1.9072199754256584e-7,22,4.315569161522869e-139,2.1577845807614346e-139,-0.10544443130493164,0.5256846483861705,false
E59,5,MAE,LSTM_vs_XGB,99.9854,226539,-0.2183500188287125,-0.2183500188287125,true,-24.88604647860672,1.6097521138427782e-136,60,-13.609693085980929,6.912136468329678e-12,22,0.0,0.0,-0.23265981674194336,0.547870344620573,false
E59,10,MAE,LSTM_vs_XGB,99.9895,219755,-0.3853638016787821,-0.3853638016787821,true,-35.36239096093482,3.8161238548581104e-273,60,-13.83569757884294,5.056228369394896e-12,22,0.0,0.0,-0.3838367462158203,0.5705353689335851,false
E2,1,RMSE,LSTM_vs_XGB,99.9878,90469,-0.563578178502179,0.03253364235808069,true,-5.780735998488922,7.461794396058354e-9,44,-4.225914241938798,0.0003785615673033957,22,0.5071744366502481,0.746412781674876,0.005680518337612739,0.4985133028993357,true
E2,3,RMSE,LSTM_vs_XGB,99.9976,81695,-0.2493725147661924,0.014921589345387433,true,-2.1111456075953265,0.03476282769302219,43,-1.9691051913131277,0.06227747463302195,22,0.001586785324355932,0.000793392662177966,-0.07482359113600978,0.5093090152396107,false
E2,5,RMSE,LSTM_vs_XGB,99.9975,79150,0.22705600137432067,0.04698931362985887,false,1.7462261820613774,0.08077553641630668,42,1.7673483052813945,0.09170000853880315,22,0.06225012336964884,0.03112506168482442,-0.022719419238001137,0.503360707517372,true
E2,10,RMSE,LSTM_vs_XGB,99.996,75747,1.5071455056758734,0.11272801526606603,false,8.938822517003548,4.019199680362213e-19,42,11.602823177529592,1.351113567283982e-10,22,3.279767564433236e-32,1.639883782216618e-32,0.06434338168105569,0.491385797457325,false
E4,1,RMSE,LSTM_vs_XGB,99.9489,99829,0.889096146018186,0.2881482354932774,false,10.910425804864468,1.0654653231685952e-27,46,12.613880902948132,2.8858742843634503e-11,22,0.0,0.0,0.33587194116262253,0.40859870378346974,false
E4,3,RMSE,LSTM_vs_XGB,99.974,92408,-0.32846567382020225,0.10317667755262437,true,-2.3347215433820625,0.01956010211760508,45,-1.9982320033233079,0.058805128814416886,22,2.6994697002080954e-39,1.0,0.17033981050929015,0.4754891351398147,true
E4,5,RMSE,LSTM_vs_XGB,99.9797,88655,-1.3507793532277237,-0.07925782160376825,true,-6.475236444062234,9.515616799186816e-11,44,-5.95769601386852,6.505333755279694e-6,22,1.380161010252994e-22,6.90080505126497e-23,-0.14489156469335285,0.5142067565281147,false
