corridor,horizon,rule,model,n_cells,base_rate,fire_rate,rate_ratio,cut_truth_min,cut_alarm_min,tp,fp,fn,precision,recall,f1,mcc,auc_published,jaccard_truth_vs_published
E4,5,rank,Persistence,60366,0.261637345525627,0.261637345525627,1.0,4.917886650886545,4.603760132364482,7226,8568,8568,0.45751551221983033,0.45751551221983033,0.45751551221983033,0.2652872074545068,0.6486070661752872,0.4897379043720507
E4,10,rank,LSTM,54443,0.2653233657219477,0.2653233657219477,1.0,4.888793819444587,8.302961676808692,5424,9021,9021,0.3754932502596054,0.3754932502596054,0.37549325025960534,0.1499569734457647,0.6044479043939524,0.4994425173439049
E4,10,rank,Persistence,54443,0.2653233657219477,0.2653233657219477,1.0,4.888793819444587,4.632397629513445,4902,9543,9543,0.3393561786085151,0.3393561786085151,0.3393561786085151,0.10076924926204774,0.5579006055267764,0.4994425173439049
E59,1,rank,LSTM,231742,0.20694133993837974,0.20694133993837974,1.0,3.53252210800276,5.147768481942292,22830,25127,25127,0.47605146276873034,0.47605146276873034,0.47605146276873034,0.33933192635389775,0.7600809089461638,0.5867215309754743
E59,1,rank,Persistence,231742,0.20694133993837974,0.20694133993837974,1.0,3.53252210800276,3.49617701963989,28426,19531,19531,0.5927393289822133,0.5927393289822133,0.5927393289822133,0.48646841459855844,0.7806905429812956,0.5867215309754743
E59,3,rank,LSTM,219911,0.2080887268031158,0.2080887268031158,1.0,3.572018407595656,5.765421930705029,17208,28553,28553,0.3760407333755818,0.3760407333755818,0.3760407333755818,0.2120843739153464,0.6884813373872672,0.5803563727942318
E59,3,rank,Persistence,219911,0.2080887268031158,0.2080887268031158,1.0,3.572018407595656,3.5000657743856274,20446,25315,25315,0.4467996765804943,0.4467996765804943,0.4467996765804943,0.30143648393047995,0.6889200704746722,0.5803563727942318
E59,5,rank,LSTM,216618,0.20791439307906084,0.20791439307906084,1.0,3.571910328970669,5.968824671534937,16013,29025,29025,0.35554420711399265,0.35554420711399265,0.3555442071139926,0.18638113449480626,0.664853535928797,0.5787232551211734
E59,5,rank,Persistence,216618,0.20791439307906084,0.20791439307906084,1.0,3.571910328970669,3.4902770705418953,17516,27522,27522,0.3889160264665394,0.3889160264665394,0.3889160264665394,0.22851271605740078,0.6477934277966022,0.5787232551211734
E59,10,rank,LSTM,209129,0.20905756733881958,0.20905756733881958,1.0,3.5788861187463983,6.337328499949505,13934,29786,29786,0.3187099725526075,0.3187099725526075,0.3187099725526075,0.13863512777390744,0.6320430377997587,0.5798561411773232
E59,10,rank,Persistence,209129,0.20905756733881958,0.20905756733881958,1.0,3.5788861187463983,3.496062818613802,12879,30841,30841,0.29457913998170177,0.29457913998170177,0.29457913998170177,0.10812616583881955,0.5711573608070826,0.5798561411773232
