origin,corridor,horizon,model,n_vectors,mean_cv_true,mean_cv_pred,cv_bias,cv_mae,cv_correlation,n_cells,bunching_rate_true,bunching_rate_pred,bunching_tp,bunching_fp,bunching_fn,bunching_precision,bunching_recall,bunching_f1
r1,E4,1,Persistence,13560,0.574221008839681,0.5848920772839,0.01067106844421898,0.09942640061866491,0.7621623814112998,52725,0.17452821242294927,0.17974395448079658,6636,2841,2566,0.700221589110478,0.7211475766137796,0.7105305423202527
r2,E4,1,LSTM,18329,0.5661487901390528,0.43759595317693206,-0.12855283696212083,0.16947970141112184,0.6129745693577281,71215,0.17051183037281473,0.08743944393737274,4570,1657,7573,0.7339007547775815,0.37634851354689947,0.4975503538377791
r2,E4,1,Persistence,18329,0.5661487901390528,0.5784320877080504,0.01228329756899751,0.11063203085638275,0.730719158276362,71215,0.17051183037281473,0.17552481920943622,8456,4044,3687,0.67648,0.6963682780202586,0.6862800795357707
main,E4,3,LSTM,16744,0.5691295053695815,0.3442168848988884,-0.22491262047069321,0.2567000353904425,0.3982581045978891,64677,0.17321458942127804,0.030010668398348716,1163,778,10040,0.5991756826378155,0.10381147906810675,0.17696287279367012
main,E4,3,Persistence,16744,0.5691295053695815,0.5877554858843697,0.018625980514787952,0.17357549366179464,0.5387517012522675,64677,0.17321458942127804,0.1840685251325819,5620,6285,5583,0.47207055858882824,0.5016513433901634,0.4864116323351221
r1,E4,3,LSTM,12109,0.560561657928219,0.33083426249092884,-0.2297273954372903,0.25336859476269524,0.4416026889538015,46394,0.16653015476139155,0.020886321507091434,623,346,7103,0.6429308565531475,0.08063681076883251,0.1433007475560667
r1,E4,3,Persistence,12109,0.560561657928219,0.579368878374436,0.018807220446216924,0.1580497580884749,0.5773500382284923,46394,0.16653015476139155,0.17508729577100487,4102,4021,3624,0.5049858426689646,0.5309345068599534,0.5176351820304119
r2,E4,3,LSTM,16455,0.5518183073916485,0.3265314993157361,-0.22528680807591236,0.25477259799914054,0.38719791301525935,62718,0.1595873592907937,0.018033100545298,629,502,9380,0.5561450044208665,0.06284344090318714,0.11292639138240575
r2,E4,3,Persistence,16455,0.5518183073916485,0.5737259791938433,0.021907671802194665,0.1695590083553512,0.5408695447267184,62718,0.1595873592907937,0.17129053860135846,4989,5754,5020,0.4643954202736666,0.4984513937456289,0.48082112567463375
main,E4,5,LSTM,15790,0.5665224868468626,0.2881935629344285,-0.27832892391243413,0.3028093790067982,0.28093429666869474,60366,0.17243150117615877,0.012225424908060828,367,371,10042,0.497289972899729,0.0352579498510904,0.06584731317843366
main,E4,5,Persistence,15790,0.5665224868468626,0.5806176406198484,0.014095153772985822,0.20046096876725586,0.42636671478028465,60366,0.17243150117615877,0.18054865321538616,4063,6836,6346,0.3727864941737774,0.3903352867710635,0.381359113947813
r1,E4,5,LSTM,11332,0.5616569053122458,0.2675135291126306,-0.2941433761996152,0.31257751542647544,0.2932305813792211,43154,0.1654539556008713,0.007276266394772211,164,150,6976,0.5222929936305732,0.02296918767507003,0.044003219747786426
r1,E4,5,Persistence,11332,0.5616569053122458,0.5757715091029286,0.014114603790682835,0.18927930696074138,0.44874454495435895,43154,0.1654539556008713,0.17136302544375956,2932,4463,4208,0.3964841108857336,0.4106442577030812,0.4034399724802201
r2,E4,5,LSTM,15444,0.5473072575315459,0.279586267378412,-0.26772099015313394,0.295323289048754,0.27675029180572835,58341,0.15714506093484856,0.007936099826879896,198,265,8970,0.42764578833693306,0.021596858638743454,0.04111722562558406
r2,E4,5,Persistence,15444,0.5473072575315459,0.5675342961058512,0.020227038574305096,0.19642102345232898,0.43194582307734897,58341,0.15714506093484856,0.16739514235271935,3400,6366,5768,0.3481466311693631,0.37085514834205935,0.35914228372240414
main,E4,10,LSTM,14441,0.577397052463114,0.21259575721490265,-0.36480129524821125,0.3784364538650106,0.15013905706069122,54443,0.17930679793545543,0.002755175137299561,75,75,9687,0.5,0.007682851874615857,0.015133171912832932
main,E4,10,Persistence,14441,0.577397052463114,0.5754674402600766,-0.0019296122030372813,0.23693819036321198,0.2817620985535021,54443,0.17930679793545543,0.17842514189151956,2612,7102,7150,0.26889026147827877,0.2675681212866216,0.268227562127747
r1,E4,10,LSTM,10042,0.5696148932511111,0.19614700803082463,-0.37346788522028646,0.38442358402265436,0.14692310101229358,37885,0.17273327174343409,0.0021908407021248516,41,42,6503,0.4939759036144578,0.006265281173594132,0.012373623057190284
r1,E4,10,Persistence,10042,0.5696148932511111,0.571920443182649,0.002305549931537845,0.22792901379037517,0.2629761614147496,37885,0.17273327174343409,0.1699089349346707,1714,4723,4830,0.26627310859095854,0.261919315403423,0.2640782682381943
r2,E4,10,LSTM,14208,0.557215132523917,0.21720203193443988,-0.34001310058947715,0.3593022456963207,0.11698330523971288,52932,0.16313383208645055,0.0010768533212423487,24,33,8611,0.42105263157894735,0.0027793862188766646,0.005522319374137137
r2,E4,10,Persistence,14208,0.557215132523917,0.5648958832562282,0.007680750732311218,0.23164126144380537,0.27335530859583973,52932,0.16313383208645055,0.16596765661603566,2233,6552,6402,0.2541832669322709,0.2585987261146497,0.2563719862227325
main,E59,1,LSTM,39010,0.6227040541606816,0.42360282062787585,-0.19910123353280565,0.21803918986959195,0.5141434307451349,231742,0.212378420830061,0.06483071691795186,9879,5145,39338,0.6575479233226837,0.2007233273056058,0.30756059214520326
main,E59,1,Persistence,39010,0.6227040541606816,0.625445466709459,0.0027414125487774804,0.0943937795250732,0.7105000474992612,231742,0.212378420830061,0.21285308662219193,30554,18773,18663,0.6194173576337503,0.6208017554909889,0.6201087838934893
r1,E59,1,LSTM,36113,0.6313848286727146,0.43196773955308215,-0.19941708911963243,0.21940490108602012,0.5047324591064791,216733,0.21453124351160183,0.07183031656462098,10057,5511,36439,0.6460046248715313,0.2162981761871989,0.32408481567414277
r1,E59,1,Persistence,36113,0.6313848286727146,0.6338336744898686,0.00244884581715397,0.09626872470578601,0.7108496203906435,216733,0.21453124351160183,0.21512644590348493,29020,17605,17476,0.6224128686327077,0.6241397109428768,0.6232750936952997
r2,E59,1,LSTM,37916,0.6258248461446784,0.43250249426353937,-0.193322351881139,0.21245874730224346,0.520421853741252,231993,0.21176932062605336,0.06948485514649148,10531,5589,38598,0.653287841191067,0.21435404750758208,0.32279421906849154
