corridor,horizon,model,cut_mcc_r1,cut_mcc_r2,cut_mcc_main,spread_mcc,std_mcc,mcc_on_main_fit_r1_mcc,mcc_on_main_fit_r2_mcc,mcc_spread_mcc,cut_f1_r1,cut_f1_r2,cut_f1_main,spread_f1,std_f1,mcc_on_main_fit_r1_f1,mcc_on_main_fit_r2_f1,mcc_spread_f1
E4,3,Persistence,-0.5256526035635061,-0.5201513908161447,-0.5067307918545685,0.018921811708937586,0.007947122306062737,0.37513195456123427,0.37481845942784064,0.00031349513339362645,-0.5256526035635061,-0.5371631363677346,-0.5448728777990235,0.01922027423551742,0.007897618628865627,0.37513195456123427,0.37380428542039107,0.0013276691408432018
E4,5,LSTM,-0.7591257116776483,-0.7880450611616231,-0.7493555558499455,0.038689505311677586,0.016427154148395056,0.19529126522707124,0.19020207233850348,0.005089192888567767,-0.8853316435951012,-0.8580328087324072,-0.8247552652294029,0.06057637836569829,0.02477032028312921,0.17644967191754568,0.17972037559561266,0.0032707036780669774
E4,5,Persistence,-0.5154957336963659,-0.5366532354069807,-0.5515708366550659,0.03607510295869998,0.014800854926930345,0.25167665102022874,0.2537368745205137,0.0020602235002849523,-0.5902969361354435,-0.5910654581186544,-0.5730073930229453,0.018058065095709064,0.008337416613465922,0.250808826576858,0.25058551932044365,0.00022330725641434013
E4,10,LSTM,-0.8684727657137222,-0.8811444435923063,-0.855735881336473,0.02540856225583321,0.010373013490177087,0.12924717210798028,0.1263356128140789,0.0029115592939013835,-0.9725767987537843,-1.0225432029499055,-0.9442538729739207,0.07828932997598481,0.032366046786220716,0.11242252222197421,0.1009960302970414,0.011426491924932808
E4,10,Persistence,-0.568041392034967,-0.5406598098282017,-0.5930013889613196,0.05234157913311788,0.021375981840628243,0.11182773790998445,0.111342064459612,0.0004856734503724397,-0.7406283116464223,-0.7187190403767407,-0.8667998235408928,0.14808078316415207,0.06525776660786024,0.09708666659400225,0.10178725420928565,0.0047005876152834
E59,1,LSTM,-0.6700427097860671,-0.6814389622273196,-0.665085472803827,0.016353489423492573,0.006846616232588718,0.3627556213813706,0.36305445932432334,0.00029883794295276767,-0.725043256543721,-0.713859741940253,-0.7034527722619713,0.0215904842817497,0.008816178488634389,0.3564389648323666,0.3582461109699261,0.001807146137559501
E59,1,Persistence,-0.5079443310281636,-0.5042696327620295,-0.5017928608104267,0.006151470217736876,0.0025271501843222304,0.5158686820325156,0.516940357918358,0.001071675885842449,-0.5109112378618055,-0.5077552800021241,-0.5031417971566661,0.007769440705139408,0.0031904110297385634,0.5148918373468933,0.5159159955279081,0.001024158181014867
E59,3,LSTM,-0.7969362092494998,-0.7892081988149707,-0.7617056791548162,0.035230530094683576,0.015119159969631544,0.2369638960135334,0.2371313742971077,0.0001674782835743016,-0.8598450980558933,-0.841481301045777,-0.8596267710081166,0.018363797010116256,0.008605778339662983,0.23144834398500352,0.23302726681300676,0.001578922828003232
E59,3,Persistence,-0.5083283294475958,-0.5181489943895766,-0.5163915458549369,0.009820664941980861,0.004275895540847736,0.32740887663542956,0.32780964035583077,0.00040076372040120933,-0.5580440002282511,-0.551228694021259,-0.5495304549240481,0.008513545304203007,0.0036789622385346955,0.3214605507674188,0.32326452070303924,0.0018039699356204308
E59,5,LSTM,-0.7875296928828904,-0.8154142267476119,-0.7750952958430832,0.04031893090452865,0.016858158749732094,0.2055107262363488,0.20512817232430455,0.0003825539120442534,-0.9168077636309353,-0.9169291914808237,-0.9144196338801116,0.0025095576007121423,0.00115545987866255,0.19507173376823012,0.1950851255068174,0.000013391738587276159
E59,5,Persistence,-0.5317549286814522,-0.5438143544635177,-0.5319992212444827,0.012059425782065425,0.005628171224918832,0.25052950565432575,0.2492360670330549,0.0012934386212708482,-0.5806717959617055,-0.5862153271444819,-0.5970080767211413,0.01633628075943583,0.006783052823438474,0.24578513729859275,0.24419096635705,0.0015941709415427385
E59,10,LSTM,-0.856650428090383,-0.8359262821875746,-0.8755805469888304,0.03965426480125578,0.016194307442357492,0.16120893771267758,0.16109808507970383,0.00011085263297375136,-1.0197998394106054,-0.9866528756511557,-0.9976554751084168,0.0331469637594497,0.013784658427377552,0.14625949802055419,0.15111285286357926,0.004853354843025071
E59,10,Persistence,-0.5349426223189584,-0.5411425096745445,-0.5060594360729641,0.03508307360158036,0.015287973138954884,0.11987839995464122,0.11904718229623071,0.0008312176584105158,-4.229259738004552,-0.7858843880114754,-4.473417886037198,3.687533498025722,1.683724386961915,-0.0023415868332493516,0.09608387042753279,0.09842545726078214
