corridor,horizon,model,absolute_ratio,cut_minutes,n_cells,base_rate_relative,fire_rate_relative,underfire_relative,f1_relative,mcc_relative,base_rate_absolute,fire_rate_absolute,underfire_absolute,f1_absolute,trivial_f1_absolute,mcc_absolute,auc_absolute
E59,5,Persistence,0.25,1.7816009528055199,216618,0.20799287224515045,0.2102041381602637,1.0106314504494507,0.4050602170241421,0.2477811590161827,0.04392525090251041,0.04627039304212946,1.0533893851812925,0.191524209233289,0.08415401555721634,0.15342567912440605,0.6498034970624675
E59,10,LSTM,0.25,1.7805400014317534,209129,0.20789560510498306,0.0075216732256167245,0.03618004922142742,0.034495005549389564,0.061368787659827645,0.04484313509843207,0.000014345212763413969,0.0003198976327575176,0.0,0.0858370670047184,-0.0008206675193861675,0.6157158026853263
E59,10,Persistence,0.25,1.7805400014317534,209129,0.20789560510498306,0.20812512850919768,1.0011040320169284,0.3030964805406772,0.12005989539948994,0.04484313509843207,0.04625852942442225,1.0315632330987419,0.11914759605290783,0.0858370670047184,0.07713000016207143,0.5940596722702234
E2,1,LSTM,0.5,2.89248957963008,66634,0.2985863072905724,0.05075486988624426,0.1699839163650985,0.2072342984792508,0.20948750056815796,0.2690068133385359,0.02548248641834499,0.09472803347280336,0.12281506395556235,0.42396433259617544,0.16068788391782887,0.6893625625648669
E2,1,Persistence,0.5,2.89248957963008,66634,0.2985863072905724,0.3027733589458835,1.0140229191797345,0.5811185146365201,0.4010485128624551,0.2690068133385359,0.2790767476063271,1.0374337517433752,0.5828427480079955,0.42396433259617544,0.4255796638990567,0.728865208755621
E2,3,LSTM,0.5,2.899494519944654,56594,0.30052655758560975,0.008817189101318162,0.02933913452492945,0.03804192608670818,0.07545709555769237,0.2760716683747394,0.004311411103650564,0.01561699948796723,0.02268716914544996,0.4326899111024952,0.06794950982359009,0.5993701197071878
E2,3,Persistence,0.5,2.899494519944654,56594,0.30052655758560975,0.3040251616779164,1.0116415804327377,0.4140994914362542,0.16028681387804755,0.2760716683747394,0.28199102378343993,1.0214413722478237,0.40825760694044266,0.4326899111024952,0.17929491726623023,0.5982946774837182
E2,5,LSTM,0.5,2.908669432692571,53865,0.30025062656641605,0.0023577462173953404,0.007852593829221542,0.010552147239263805,0.03997523249733262,0.2774714564188248,0.0011510257124292213,0.004148267094874884,0.006130063965884862,0.43440728953219687,0.035213404959127864,0.5684924896959492
E2,5,Persistence,0.5,2.908669432692571,53865,0.30025062656641605,0.3017543859649123,1.005008347245409,0.37530453017547105,0.10630106332344676,0.2774714564188248,0.28357931866703795,1.0220125786163523,0.3692796399854406,0.43440728953219687,0.12341444596677979,0.5688812879840021
E2,10,LSTM,0.5,2.912782586154003,50356,0.3027444594487251,0.0002780204940821352,0.0009183338799606429,0.0013107018808571989,0.014937505346829584,0.28254825641432996,0.00007943442688061006,0.000281135788585887,0.0005621135469364812,0.44060448408274494,0.014202724562919154,0.5176758320010095
E2,10,Persistence,0.5,2.912782586154003,50356,0.3027444594487251,0.2995472237667805,0.9894391603804525,0.3320913976721949,0.044293303558623015,0.28254825641432996,0.2820517912463262,0.9982429013213383,0.3179627870985896,0.44060448408274494,0.04969067667455399,0.5256123230154963
E4,1,LSTM,0.5,4.782977914671351,73159,0.18317636927787423,0.08610013805546822,0.4700395492873666,0.46588832487309645,0.43274357957393655,0.16803127434765375,0.08712530242348857,0.5185064670950947,0.483419938929662,0.2877170809343257,0.4460532016399198,0.8006570364731291
E4,1,Persistence,0.5,4.782977914671351,73159,0.18317636927787423,0.1896827458002433,1.0355197373330347,0.6861206833345552,0.6143635116725165,0.16803127434765375,0.17698437649503138,1.0532823558122508,0.7043302563289886,0.2877170809343257,0.643058136823854,0.8327241885122108
E4,3,LSTM,0.5,4.791286732061292,64677,0.17321458942127804,0.030010668398348716,0.1732571632598411,0.17696287279367012,0.19798653342209688,0.15452170014069916,0.03144858295839325,0.2035221132679608,0.18157632191553044,0.2676808935195725,0.19061451883672287,0.6714181435730849
