corridor,horizon,direction,n_lstm_own,n_xgb_own,n_paired,retained_lstm_pct,retained_xgb_pct,max_pair_rank_lstm,max_pair_rank_xgb,mae_lstm_own,mae_lstm_paired,framing_delta_lstm,mae_xgb_own,mae_xgb_paired,framing_delta_xgb,mae_persist_paired,rmse_lstm_paired,rmse_xgb_paired,rmse_persist_paired,delta_lstm_persist,delta_lstm_xgb,delta_xgb_persist
E2,10,-1,38605,38602,38602,99.992229,100.0,12,11,6.2973006955238064,6.29763088061534,0.0003301850915331528,6.009844953847674,6.009844862273996,-9.157367752976597e-8,7.775718808847353,7.688205542789981,7.478460240963329,10.20289611676913,-1.4780879282320134,0.2877860183413432,-1.7658739465733566
E2,10,aggregate,75750,75747,75747,99.99604,100.0,14,14,5.320464154274943,5.320593734262,0.00012957998705687146,5.20786573153874,5.207865718995935,-1.2542805016835246e-8,6.793300826826484,6.879627572380412,6.769204534432457,9.191146215306908,-1.4727070925644838,0.11272801526606546,-1.5854351078305493
E4,1,+1,42617,42566,42566,99.880329,100.0,10,7,2.0857124486824263,2.0861188092917557,0.00040636060932941476,1.8289431547058206,1.828943051605393,-1.0310042752870174e-7,1.6413398937013304,3.5657181545400807,3.5761419398068366,3.8606819787205637,0.44477891559042537,0.2571757576863627,0.18760315790406268
E4,1,-1,57263,57263,57263,100.0,100.0,10,10,3.779508333955786,3.779508333955786,0.0,3.4683370954999972,3.4683369510491855,-1.4445081175651353e-7,3.3014079788866453,5.613108188701029,5.468239799990752,6.418533541961727,0.4781003550691407,0.3111713829066005,0.1669289721625402
E4,1,aggregate,99880,99829,99829,99.948939,100.0,10,10,3.05679608683229,3.057465455565247,0.0006693687329568654,2.7693173468914276,2.7693172200719696,-1.268194580461568e-7,2.5935729999326527,4.847061711603598,4.754462229324724,5.476006599591002,0.4638924556325943,0.2881482354932774,0.1757442201393169
E4,3,+1,39403,39379,39379,99.939091,100.0,8,7,3.0945972027132522,3.0955327519394746,0.0009355492262224097,3.0536664255981,3.053666303500428,-1.2209767197290944e-7,3.017349611662714,4.547436671179374,4.743196504068655,5.396836464069253,0.07818314027676054,0.04186644843904652,0.03631669183771402
E4,3,-1,53029,53029,53029,100.0,100.0,10,10,4.731619691747145,4.731619691747145,0.0,4.582914577006946,4.582914425832236,-1.5117471008352368e-7,4.901576176650763,6.386495249263897,6.3252766186238425,7.715712350522246,-0.1699564849036177,0.1487052659149093,-0.318661750818527
E4,3,aggregate,92432,92408,92408,99.974035,100.0,10,10,4.0337704930345515,4.034413090558003,0.0006425975234511938,3.9312365517891195,3.9312364130053785,-1.38783740943893e-7,4.098626671167857,5.676123921921814,5.704984526782985,6.824570412099739,-0.06421358060985405,0.10317667755262416,-0.1673902581624782
E4,5,+1,37716,37698,37698,99.952275,100.0,8,7,3.601209194375217,3.6018675439420624,0.0006583495668452954,3.825952925693597,3.8259527954070394,-1.3028655754254714e-7,3.976891325123336,5.018027421833385,5.398331048061617,6.383152056716839,-0.37502378118127355,-0.22408525146497693,-0.15093852971629662
E4,5,-1,50957,50957,50957,100.0,100.0,10,10,5.177098839610085,5.177098839610085,0.0,5.149213447286989,5.149213296202023,-1.5108496587146192e-7,5.832487675061763,6.772331866910252,6.72933400429726,8.428823489096157,-0.6553888354516779,0.02788554340806204,-0.68327437885974
