model,corridor,horizon,regime,regime_order,n,share,mean_change,mae_persist,mae_dl,delta_mae,dl_better
SpatialConvLSTM,E2,3,high,2,338682,0.5653019360158367,9.208056145265529,9.208056145265529,5.960107342676122,-3.2479488025894065,true
SpatialConvLSTM,E2,5,low,0,97805,0.1675509179710587,0.4793243460979182,0.4793243460979182,3.6384746804034305,3.1591503343055125,false
SpatialConvLSTM,E2,5,moderate,1,128729,0.22052719308313903,1.912682064211365,1.912682064211365,3.376969149081049,1.464287084869684,false
SpatialConvLSTM,E2,5,high,2,357199,0.6119218889458022,9.336581768264868,9.336581768264868,5.9983603758079855,-3.338221392456882,true
SpatialConvLSTM,E2,10,low,0,77777,0.13737005153783385,0.48444048540546547,0.48444048540546547,3.8553946955806024,3.370954210175137,false
SpatialConvLSTM,E2,10,moderate,1,123580,0.21826749513410787,1.9471118755567458,1.9471118755567458,3.540158947213681,1.5930470716569354,false
SpatialConvLSTM,E2,10,high,2,364829,0.6443624533280583,9.688243440556777,9.688243440556777,5.994905149844629,-3.6933382907121475,true
SpatialConvLSTM,E4,1,low,0,345168,0.5979471810551663,0.398758541441912,0.398758541441912,1.8556292011214193,1.4568706596795074,false
SpatialConvLSTM,E4,1,moderate,1,105137,0.1821326796649661,1.338825736455882,1.338825736455882,2.28630827429228,0.947482537836398,false
SpatialConvLSTM,E4,1,high,2,126950,0.21992013927986764,10.741027698633285,10.741027698633285,8.395636059985288,-2.345391638647998,true
SpatialConvLSTM,E4,3,low,0,193091,0.3608766103304109,0.40821538054792633,0.40821538054792633,2.746411841358374,2.3381964608104475,false
SpatialConvLSTM,E4,3,moderate,1,116697,0.21810036612647904,2.0411676064378685,2.0411676064378685,3.046085699236481,1.0049180927986123,false
SpatialConvLSTM,E4,3,high,2,225273,0.42102302354311005,9.133487730927158,9.133487730927158,6.560996348961821,-2.572491381965337,true
SpatialConvLSTM,E4,5,low,0,141915,0.2757842697153251,0.44692222284211447,0.44692222284211447,3.1912414516912255,2.744319228849111,false
SpatialConvLSTM,E4,5,moderate,1,98324,0.19107361826085772,1.8016546890445715,1.8016546890445715,3.3789971336182245,1.577342444573653,false
SpatialConvLSTM,E4,5,high,2,274348,0.5331421120238171,9.222741489967488,9.222741489967488,6.276722743300997,-2.946018746666491,true
SpatialConvLSTM,E4,10,low,0,84462,0.17342934759173817,0.4759069439960106,0.4759069439960106,3.564930485543186,3.0890235415471756,false
SpatialConvLSTM,E4,10,moderate,1,98217,0.20167306282609634,1.878723916679544,1.878723916679544,3.796780848020775,1.918056931341231,false
SpatialConvLSTM,E4,10,high,2,304332,0.6248975895821655,10.10445546763566,10.10445546763566,6.395748646692412,-3.708706820943248,true
SpatialConvLSTM,E59,1,low,0,1327851,0.5864739859884123,0.32573579043444123,0.32573579043444123,2.120658447977548,1.7949226575431068,false
SpatialConvLSTM,E59,1,moderate,1,321365,0.14193777201445504,1.7685920664200736,1.7685920664200736,2.077880754069164,0.30928868764909034,false
SpatialConvLSTM,E59,1,high,2,614910,0.27158824199713266,8.755013607609563,8.755013607609563,5.942493689168969,-2.812519918440594,true
SpatialConvLSTM,E59,3,low,0,845493,0.389658098111698,0.42467221983552966,0.42467221983552966,2.8784802412511126,2.453808021415583,false
SpatialConvLSTM,E59,3,moderate,1,488409,0.2250905945296251,1.8482996766668067,1.8482996766668067,2.724003188026621,0.8757035113598144,false
SpatialConvLSTM,E59,3,high,2,835931,0.3852513073586769,8.609891855998397,8.609891855998397,5.167284322801388,-3.442607533197009,true
SpatialConvLSTM,E59,5,low,0,650762,0.30370865414860937,0.45967259920134956,0.45967259920134956,3.220873586640149,2.7612009874387993,false
SpatialConvLSTM,E59,5,moderate,1,537129,0.2506764772592567,1.8137055990719386,1.8137055990719386,3.011253419796176,1.1975478207242374,false
SpatialConvLSTM,E59,5,high,2,954827,0.4456148685921339,8.530935650940275,8.530935650940275,4.952610935341796,-3.5783247155984794,true
SpatialConvLSTM,E59,10,low,0,417516,0.1999455977258317,0.48755609827333357,0.48755609827333357,3.3681887071667314,2.880632608893398,false
SpatialConvLSTM,E59,10,moderate,1,535455,0.2564257897428726,1.8837267230279722,1.8837267230279722,3.2610949377774907,1.3773682147495185,false
SpatialConvLSTM,E59,10,high,2,1135177,0.5436286125312957,8.647436478322884,8.647436478322884,4.957310421539368,-3.690126056783516,true
SpatialTransformer,E2,1,low,0,244773,0.37409732188298084,0.4601891286425551,0.4601891286425551,2.9846630673690338,2.5244739387264787,false
SpatialTransformer,E2,1,moderate,1,164213,0.25097393715144206,1.5932490459167976,1.5932490459167976,2.888209630281907,1.2949605843651093,false
SpatialTransformer,E2,1,high,2,245317,0.3749287409655771,9.776205932963745,9.776205932963745,6.542129993071351,-3.234075939892394,true
SpatialTransformer,E2,3,low,0,121597,0.20296035665821535,0.463008411736669,0.463008411736669,3.4516049097141894,2.9885964979775204,false
SpatialTransformer,E2,3,moderate,1,138838,0.23173770732594803,1.997610039500396,1.997610039500396,3.4569200994466325,1.4593100599462365,false
SpatialTransformer,E2,3,high,2,338682,0.5653019360158367,9.208056145265529,9.208056145265529,5.972387543883524,-3.235668601382004,true
SpatialTransformer,E2,5,low,0,97805,0.1675509179710587,0.4793243460979182,0.4793243460979182,3.722075192810452,3.242750846712534,false
SpatialTransformer,E2,5,moderate,1,128729,0.22052719308313903,1.912682064211365,1.912682064211365,3.4462175643410076,1.5335355001296425,false
SpatialTransformer,E2,5,high,2,357199,0.6119218889458022,9.336581768264868,9.336581768264868,6.022937910583872,-3.3136438576809955,true
SpatialTransformer,E2,10,low,0,77777,0.13737005153783385,0.48444048540546547,0.48444048540546547,3.8329086337031972,3.348468148297732,false
