corridor,horizon,split_mode,seed,n_learn,n_eval,policy,policy_degenerate,mae_router,mae_persist,mae_lstm,mae_xgb,mae_oracle,best_pure,gain_vs_best_pure,gap_to_oracle
E2,5,random,0,46990,31326,XDX,false,5.049650837701833,6.219049210803518,5.097704228249453,5.051332618521524,5.049650837701833,X,-0.0016817808196911699,0.0
E2,5,random,1,46990,31326,DDX,false,5.006395005901251,6.165552276171602,5.057738578548637,4.9950679269534435,4.9950679269534435,X,0.011327078947807934,0.011327078947807934
E2,5,random,2,46990,31326,XXX,true,5.05624038851338,6.223393995277971,5.088333166201955,5.05624038851338,5.049476308360803,X,0.0,0.006764080152577456
E2,5,random,3,46990,31326,XDX,false,5.011018016866087,6.159856270946154,5.06614009613873,5.007947536604101,5.007947536604101,X,0.003070480261985864,0.003070480261985864
E2,5,random,4,46990,31326,XDX,false,5.009696028207154,6.175564916100545,5.055028821897942,5.010902931869376,5.009696028207154,X,-0.001206903662222203,0.0
E2,5,random,5,46990,31326,XDX,false,5.015653248385194,6.187070159873142,5.067224683329603,5.017313708528692,5.015653248385194,X,-0.0016604601434986321,0.0
E2,5,random,6,46990,31326,XDX,false,5.002102197202193,6.179210733204427,5.042899561082085,4.999025331164262,4.999025331164262,X,0.003076866037931225,0.003076866037931225
E2,5,random,7,46990,31326,XDX,false,5.0160345755370495,6.131372790595988,5.063746610150852,5.015600075006622,5.01387460350663,X,0.000434500530427151,0.0021599720304195102
E2,5,random,8,46990,31326,XXX,true,5.038547340795956,6.186301169142461,5.078692805361399,5.038547340795956,5.031632309610539,X,0.0,0.006915031185417142
E2,5,random,9,46990,31326,XDX,false,5.039836297339348,6.176242414550109,5.076661889910629,5.0395659855222945,5.0395659855222945,X,0.0002703118170535035,0.0002703118170535035
E2,5,random,10,46990,31326,XDX,false,4.984427767238922,6.150580141413892,5.041324999828201,4.986698170841665,4.984427767238922,X,-0.0022704036027425545,0.0
E2,5,random,11,46990,31326,XXX,true,5.016216409523764,6.186515617909456,5.05656674079783,5.016216409523764,5.004610019344209,X,0.0,0.011606390179554893
E2,5,random,12,46990,31326,XXX,true,5.01249782068553,6.191007116140324,5.057919001637128,5.01249782068553,5.00761974936342,X,0.0,0.004878071322109712
E2,5,random,13,46990,31326,DXX,false,5.025504402279252,6.192960860247753,5.062990339164768,5.015995758273764,5.006737565975997,X,0.009508644005488343,0.018766836303255374
E2,5,random,14,46990,31326,XXX,true,4.99169786079309,6.1542551478214405,5.022536396249641,4.99169786079309,4.985189420734109,X,0.0,0.006508440058981435
E2,5,random,15,46990,31326,XDX,false,5.013603573594979,6.11337209988438,5.0683520816336465,5.007950720480786,5.007950720480786,X,0.005652853114193057,0.005652853114193057
E2,5,random,16,46990,31326,XDX,false,5.004537682899196,6.128149592959393,5.055132113965559,5.006297813904572,5.004537682899196,X,-0.0017601310053763086,0.0
E2,5,random,17,46990,31326,XDX,false,4.984664097855482,6.136474011448664,5.037363131879078,4.982622529616615,4.982622529616615,X,0.002041568238867697,0.002041568238867697
E2,5,random,18,46990,31326,DDX,false,5.031815896361205,6.184114000634856,5.072204815909863,5.018606272349905,5.018606272349905,X,0.013209624011299326,0.013209624011299326
E2,5,random,19,46990,31326,XDX,false,5.004549467364985,6.13884533951735,5.053858985916405,4.999876205334982,4.999876205334982,X,0.004673262030002512,0.004673262030002512
E2,5,temporal,,49508,28808,XDX,false,5.0726686581840985,6.215407619283319,5.146199024599216,5.0705312096271475,5.0705312096271475,X,0.0021374485569509716,0.0021374485569509716
E2,10,random,0,44922,29948,XXX,true,5.211386517488353,6.76258396016464,5.321424319880404,5.211386517488353,5.211386517488353,X,0.0,0.0
E2,10,random,1,44922,29948,XXX,true,5.1964090857627445,6.808793475818328,5.305299395813998,5.1964090857627445,5.1964090857627445,X,0.0,0.0
E2,10,random,2,44922,29948,XXX,true,5.182096119499882,6.775993479680231,5.305460647037132,5.182096119499882,5.182096119499882,X,0.0,0.0
E2,10,random,3,44922,29948,XXX,true,5.226942055595085,6.783056190522758,5.325144044990228,5.226942055595085,5.226942055595085,X,0.0,0.0
E2,10,random,4,44922,29948,XXX,true,5.212826619889272,6.797237097516435,5.316756824848727,5.212826619889272,5.212826619889272,X,0.0,0.0
E2,10,random,5,44922,29948,XXX,true,5.160184793252882,6.766579169073967,5.285813541561703,5.160184793252882,5.160184793252882,X,0.0,0.0
E2,10,random,6,44922,29948,XXX,true,5.188148323168372,6.792225616612262,5.309657631003843,5.188148323168372,5.188148323168372,X,0.0,0.0
E2,10,random,7,44922,29948,XXX,true,5.188859023548851,6.779291232963008,5.300021056341078,5.188859023548851,5.188859023548851,X,0.0,0.0
E2,10,random,8,44922,29948,XXX,true,5.2006546083623295,6.776381606107977,5.310591508983308,5.2006546083623295,5.2006546083623295,X,0.0,0.0
E2,10,random,9,44922,29948,XXX,true,5.167628030178622,6.761818503838317,5.291316242717655,5.167628030178622,5.167628030178622,X,0.0,0.0
E2,10,random,10,44922,29948,XXX,true,5.20111524447335,6.772551214741151,5.328889688790139,5.20111524447335,5.20111524447335,X,0.0,0.0
E2,10,random,11,44922,29948,XXX,true,5.181651483291266,6.770640154196644,5.28457390195269,5.181651483291266,5.181651483291266,X,0.0,0.0
E2,10,random,12,44922,29948,XXX,true,5.201783741047501,6.805546693980527,5.318235577219587,5.201783741047501,5.201783741047501,X,0.0,0.0
E2,10,random,13,44922,29948,XXX,true,5.206965187283117,6.803750265571293,5.306446968920005,5.206965187283117,5.206965187283117,X,0.0,0.0
E2,10,random,14,44922,29948,XXX,true,5.196794182886121,6.740141948361382,5.3100513703230465,5.196794182886121,5.196794182886121,X,0.0,0.0
E2,10,random,15,44922,29948,XXX,true,5.208302999332525,6.784468524363994,5.318256998079648,5.208302999332525,5.208302999332525,X,0.0,0.0
E2,10,random,16,44922,29948,XXX,true,5.185076329153053,6.796832853696591,5.309127221203653,5.185076329153053,5.185076329153053,X,0.0,0.0
E2,10,random,17,44922,29948,XXX,true,5.224395148049086,6.828505219063963,5.335197573050775,5.224395148049086,5.224395148049086,X,0.0,0.0
E2,10,random,18,44922,29948,XXX,true,5.201696801188793,6.743992298017504,5.309171974587317,5.201696801188793,5.201696801188793,X,0.0,0.0
