model,corridor,horizon,n,p99_threshold,n_clipped_targets,pct_clipped_targets,mae_vs_clipped_target,mae_vs_raw_target_as_produced,mae_vs_raw_target_fair,delta_vs_persist_clipped,delta_vs_persist_raw_fair,dm_p_raw_fair,raw_bunching_rate_true,raw_bunching_recall,raw_bunching_precision,raw_bunching_f1
Persistence,E59,5,226539,27.9969488128,1762,0.7777910205306813,4.380390150780385,4.3876218409772045,4.391896773978653,0.0,0.0,,0.2083108248493663,0.4072965844360219,0.40321235792337734,0.4052441807897146
Persistence,E59,10,219755,27.9969488128,1706,0.77631908261473,5.334754875987516,5.341926321472708,5.3476264660885615,0.0,0.0,,0.20813845609403844,0.3034257748776509,0.303216770371731,0.3033212366208829
XGBoost,E2,1,90469,28.4679230336,966,1.0677690700682,4.162527365956162,4.170804109232019,4.170804109232019,0.03419376077271341,0.03013061289312091,0.2896047521420753,0.2987857046365369,0.1054958304028936,0.7428369296073576,0.18475344213258263
XGBoost,E2,3,81695,28.4679230336,852,1.0429034824652672,4.823116188369173,4.831255299869794,4.831255299869794,-0.8657773907557127,-0.8721094530388864,3.818923086487685e-20,0.30073155216284986,0.0035254715318173806,0.7317073170731707,0.0070171335009648565
XGBoost,E2,5,79150,28.4679230336,817,1.0322173089071383,5.0183925799757185,5.026323458340997,5.026323458340997,-1.1554948436046653,-1.1625769784941902,1.8402048395059779e-22,0.3003731689657093,0.0,0.0,0.0
XGBoost,E2,10,75747,28.4679230336,839,1.1076346257937608,5.207865718995935,5.216557988008824,5.216557988008824,-1.5854351078305493,-1.5928385868686457,9.808201699802324e-25,0.3029809544615018,0.0,0.0,0.0
XGBoost,E4,1,99829,29.098441160533334,994,0.9957026515341234,2.7693172200719696,2.7739503773363365,2.7739503773363365,0.1757442201393169,0.17455774577842043,1.3063812195964032e-6,0.18338257824469248,0.41399373414888857,0.8300927310798684,0.552458690025881
XGBoost,E4,3,92408,29.098441160533334,958,1.0367067786338846,3.9312364130053785,3.9360658600590637,3.9360658600590637,-0.1673902581624782,-0.16979676748210215,0.0005917653822670634,0.17343418874812444,0.09302533000356761,0.7303921568627451,0.16503164556962027
XGBoost,E4,5,88655,29.098441160533334,905,1.0208110089673452,4.586534661506075,4.591259118565873,4.591259118565873,-0.45691380313350294,-0.46002521584514255,1.5721320417270723e-9,0.172544080604534,0.007971571263926239,0.6240601503759399,0.015742057847321005
XGBoost,E4,10,83190,29.098441160533334,917,1.1022959490323356,5.440981209405642,5.446129067562665,5.446129067562665,-1.0854659746667341,-1.089092391306476,2.565054714053574e-16,0.17945985669667464,0.0,0.0,0.0
XGBoost,E59,1,240907,27.9969488128,1887,0.783289817232376,3.1075867832160022,3.1146576208811285,3.1146576208811285,0.3073539383929291,0.3067025473709246,5.101060753173051e-12,0.2126243552946762,0.16919048392335173,0.783291044074805,0.2782739337284033
XGBoost,E59,3,229826,27.9969488128,1799,0.7827660926091913,3.790409468297799,3.7974686806751077,3.7974686806751077,-0.09091738313074726,-0.09424280854318656,0.0021681272967007266,0.2087642697957884,0.02187316180475371,0.7110481586402266,0.0424407668082768
XGBoost,E59,5,226539,27.9969488128,1762,0.7777910205306813,4.107398422152124,4.11463020339168,4.11463020339168,-0.27299172862826104,-0.27726657058697235,7.89171227416965e-10,0.2083108248493663,0.004211272912649334,0.6462585034013606,0.00836801655986435
XGBoost,E59,10,219755,27.9969488128,1706,0.77631908261473,4.547427907433462,4.55459944302749,4.55459944302749,-0.787326968554054,-0.7930270230610716,5.662468572433763e-17,0.20813845609403844,0.000137858143969855,0.8571428571428571,0.0002756719503790489
