model,corridor,horizon,metric,n,paired_dl,reported_dl,abs_diff_dl,paired_persist,reported_persist,abs_diff_persist,paired_delta,reported_delta,paired_dl_better,reported_dl_better,sign_mismatch
SpatialConvLSTM,E4,1,RMSE,577255,5.185823385837683,5.598834055621364,0.41301066978368084,5.80059080392533,6.148060730514267,0.3474699265889365,-0.6147674180876477,-0.5492266748929033,true,true,false
SpatialConvLSTM,E4,3,MAE,535061,4.417798722432032,4.697970900425622,0.28017217799358995,4.437903405075334,4.782842024403603,0.3449386193282695,-0.020104682643301786,-0.08487112397798136,true,true,false
SpatialConvLSTM,E4,3,RMSE,535061,6.055622957601114,6.3314367908116225,0.2758138332105089,7.182683786401508,7.617942223502339,0.43525843710083034,-1.1270608288003947,-1.2865054326907162,true,true,false
SpatialConvLSTM,E4,5,MAE,514587,4.872116621604861,5.053726218201157,0.18160959659629583,5.384534675749402,5.739753221739015,0.35521854598961333,-0.5124180541445407,-0.6860270035378582,true,true,false
SpatialConvLSTM,E4,5,RMSE,514587,6.495988216853345,6.669057504866583,0.17306928801323807,7.957292513024465,8.423348265172438,0.46605575214797224,-1.4613042961711207,-1.7542907603058548,true,true,false
SpatialConvLSTM,E4,10,MAE,487011,5.380659903708951,5.366582957765543,0.014076945943408248,6.775674103058866,7.070124897290499,0.2944507942316328,-1.395014199349915,-1.703541939524956,true,true,false
SpatialConvLSTM,E4,10,RMSE,487011,7.0208641260171145,7.0062316454248785,0.014632480592235986,9.156793938417074,9.532948098210838,0.37615415979376365,-2.1359298123999597,-2.5267164527859594,true,true,false
SpatialConvLSTM,E59,1,MAE,2264126,3.152552191770141,3.329016662584939,0.176464470814798,2.8198243392569347,3.1003966264195175,0.28057228716258287,0.33272785251320647,0.2286200361654216,false,false,false
SpatialConvLSTM,E59,1,RMSE,2264126,4.4598870202804015,4.650670892726227,0.1907838724458255,5.328151432057793,5.711824583192785,0.38367315113499156,-0.8682644117773917,-1.0611536904665577,true,true,false
SpatialConvLSTM,E59,3,MAE,2169833,3.7254736742047463,3.8471606745911795,0.12168700038643321,3.8984839363320383,4.183690672399454,0.28520673606741553,-0.17301026212729198,-0.3365299978082743,true,true,false
SpatialConvLSTM,E59,3,RMSE,2169833,4.965095469136968,5.116686805107146,0.1515913359701777,6.26998374275974,6.652120237820234,0.38213649506049396,-1.3048882736227716,-1.5354334327130879,true,true,false
SpatialConvLSTM,E59,5,MAE,2142718,3.940014652730979,4.03735454871566,0.09733989598468096,4.39577164587488,4.697795165217835,0.30202351934295546,-0.4557569931439005,-0.660440616502175,true,true,false
SpatialConvLSTM,E59,5,RMSE,2142718,5.193173803034525,5.3205089392665235,0.12733513623199855,6.658370320985156,7.065158176889069,0.40678785590391264,-1.4651965179506314,-1.7446492376225455,true,true,false
SpatialConvLSTM,E59,10,MAE,2088148,4.2046191355023055,4.238781763772549,0.03416262827024319,5.28151470276952,5.593333225710658,0.3118185229411372,-1.076895567267215,-1.354551461938109,true,true,false
SpatialConvLSTM,E59,10,RMSE,2088148,5.526246629184683,5.58851714438938,0.062270515204697396,7.406354657905581,7.824204696667109,0.4178500387615278,-1.8801080287208984,-2.235687552277729,true,true,false
